MEMBER CODE,FAT,SNF,RATE,Qty.,AMOUNT,Shift
0033*  ,4.55,8.74,31.13,1.99,61.95,Morning
0001*  ,7.42,9.62,41.5,3.61,149.82,Morning
0018*  ,4,8.94,29.88,1.77,52.89,Morning
0005*  ,3.97,8.98,29.87,5.65,168.77,Morning
0012*  ,4.06,8.84,29.86,4.02,120.04,Morning
0008*  ,9.56,9.72,48.12,1.55,74.59,Morning
0010*  ,5.36,8.6,33.28,2.13,70.89,Morning
0037*  ,3.78,8.05,27.44,3,82.32,Morning
0005*  ,3.66,8.4,27.78,4.95,137.51,Morning
0011*  ,8.12,9.4,43.16,2.54,109.63,Morning
0010*  ,5.53,8.67,33.93,1.91,64.81,Morning
0008*  ,9.76,9.67,48.62,1.43,69.53,Morning
0018*  ,4.25,9.13,31.01,2.03,62.95,Morning
0037*  ,3.77,8.01,27.33,2.78,75.98,Morning
0033*  ,3.95,8.72,29.29,1.78,52.14,Morning
0001*  ,8.42,9.58,44.42,3.58,159.02,Morning
0012*  ,4.45,9.03,31.41,3.85,120.93,Morning
0032*  ,5.65,9.58,36.11,2.5,90.28,Morning
0033*  ,4.45,8.75,30.85,1.98,61.08,Morning
0018*  ,3.74,9.05,29.32,2.51,73.59,Morning
0012*  ,4.36,9.14,31.36,3.9,122.3,Morning
0008*  ,9.74,9.66,48.54,1.57,76.21,Morning
0010*  ,6.53,8.76,37.11,2.11,78.3,Morning
0001*  ,7.71,9.72,42.57,2.02,85.99,Morning
0044*  ,9.57,9.76,48.23,2.08,100.32,Morning
0011*  ,7.93,9.34,42.47,2.61,110.85,Morning
0022*  ,6.14,8.66,35.74,1.78,63.62,Morning
0037*  ,3.41,8.16,26.55,1.96,52.04,Morning
0032*  ,8.7,9.31,44.72,2.13,95.25,Morning
0037*  ,3.9,8.1,27.9,2.52,70.31,Morning
0033*  ,4.14,8.61,29.64,1.67,49.5,Morning
0005*  ,3.36,8.77,27.62,4.61,127.33,Morning
0009*  ,3.81,9.12,29.67,3.81,113.04,Morning
0012*  ,3.81,9.12,29.67,3.81,113.04,Morning
0008*  ,9.18,9.73,47,1.84,86.48,Morning
0001*  ,8,9.68,43.36,2.27,98.43,Morning
0010*  ,6.45,9,37.35,1.97,73.58,Morning
0018*  ,4.19,9.17,30.91,2.5,77.28,Morning
0038*  ,3.91,9.24,30.21,1.79,54.08,Morning
0011*  ,7.82,9.44,42.34,2.71,114.74,Morning
0037*  ,3.75,8.23,27.71,2.96,82.02,Morning
0032*  ,7.44,9.53,41.38,1.72,71.17,Morning
0008*  ,8.78,9.72,45.78,2.97,135.97,Morning
0033*  ,4.57,8.77,31.25,3.16,98.75,Morning
0012*  ,4.28,9.26,31.36,4.54,142.37,Morning
0012*  ,4.12,8.71,29.78,2.79,83.09,Morning
0018*  ,3.67,8.98,28.97,2.53,73.29,Morning
0005*  ,3.51,8.64,27.81,6.22,172.98,Morning
0038*  ,4.83,9.41,33.31,2.62,87.27,Morning
0011*  ,7.34,9.85,41.72,2.34,97.62,Morning
0010*  ,5.87,9,35.61,2.08,74.07,Morning
0022*  ,5.87,9,35.61,1.66,59.11,Morning
0037*  ,3.84,8.09,27.7,2.4,66.48,Morning
0032*  ,6.72,9.45,39.06,1.73,67.57,Morning
0033*  ,4.21,8.69,30.01,2.11,63.32,Morning
0419   ,0,0,0,0,0,Morning
0029*  ,4.19,8.91,30.39,2.17,65.95,Morning
0005*  ,3.76,8.73,28.74,4.5,129.33,Morning
0018*  ,3.84,9.07,29.66,2.53,75.04,Morning
